
> theandril@0.1.0 art:validate /home/telephoneheater/Work/Theandril-release
> tsx scripts/art.ts validate

battle.unit.arbalester (BRIEF_READY): PASS eb6580cfdb3ac25ad898a30c447cd333cd9f8745b0d88c20cfc1c7fd91007c68
battle.unit.cavalry (BRIEF_READY): PASS b8ee1af90a32cdfd84175409d39e773db4995b9189586639fa5dc7cdbf5c45de
battle.unit.coastal_warship (BRIEF_READY): PASS 0c53023362b1c39518cdacf308a091ca5eb7021efaddb8688b8b609f52aa8561
battle.unit.colonist (BRIEF_READY): PASS 0b8cd40edfdff6b10f6259deaabd9afe90b2b28d3dc70c01dc3e1ccb5cdf65b8
battle.unit.guard (BRIEF_READY): PASS a5fa8a6202c8a60d6362b862267386b6ea63cfeec7683b5a22d26497ba3d5f33
battle.unit.halberdier (BRIEF_READY): PASS f5ca61b442b80e7c0fdb94c8cde6f1a90276be4ca459899feae05041b00036d5
battle.unit.heavy_infantry (BRIEF_READY): PASS ab619e5ada92286becc9c47610d49799d4a0eda2d7f527f967bd206f0f8ed6dc
battle.unit.lancer (BRIEF_READY): PASS 37c834a3824a401b8c201d0b7b2716c2cf5bd8f2685a7735bd26fb876c922837
battle.unit.ocean_warship (BRIEF_READY): PASS 4d48a30b676677a8090450e35c9a69145169db720a9c31c7ba280d1d45d24bb5
battle.unit.scout (BRIEF_READY): PASS cb2d670ee6ea3adc332bd60b8976bbb1513443f3b0f18cfda9784279349f1d26
battle.unit.skirmisher (BRIEF_READY): PASS 7ea460f83e2ed085081934cf9ed2b084f75b2459eb0afcd12b1e4b089f7c55fc
battle.unit.spearman (BRIEF_READY): PASS 41eab60e75853f40f5718efcb6d87019140a8f3594f016775108c704fdfbd5c5
battle.unit.transport (BRIEF_READY): PASS c7e1def6a4280a3c6ae3777d0022a7813109f74582b30bc85c6c849c16580e1d
building.archive (BRIEF_READY): PASS 847806af82b57b420dcab600eb0a8c4a85d42727d4abbb587d97706ad5d9945b
building.granary (BRIEF_READY): PASS 15e104b461997c32885e5f6b7697c61ed656ca930b9c80dda1780a5ac1406122
building.harbor (BRIEF_READY): PASS 2426c13ff6aeeae9d5854ccc097ddef619419cff023520717eb86b482ea24664
building.market (BRIEF_READY): PASS af5e2a81caa508f8b012714e68842152ae7a24fc8d62f593e67909b35ff74270
building.workshop (BRIEF_READY): PASS 4e0ed3b5bae6df0a5542e6e9cd8d2a3bff6578647041893759f3c7229366b06b
character.engineer.ashen_compact (BRIEF_READY): PASS 479149b9d703f3fbf6f9f9f04636b2b661da2e86e0911c4fac543bdf49ab643d
character.engineer.brine_choir (BRIEF_READY): PASS d033d1994206f74d7821cff3981b340b0867d64f30955595728d64b6ccd8e1d3
character.engineer.cairnwing_concord (BRIEF_READY): PASS 86ebb8603354a7adde271104c8932c4622b7cb91715bce6c6eb325f26d5fff29
character.engineer.cinder_march (BRIEF_READY): PASS a3be9be1235685d10f9e00cfc54ee0ddf7db01a3348159233f10bc9ebead17a7
